"","title","description","contributor","author","publisher"
"1651","COLLATERAL DAMAGE","Back in New York, the lawyer Stone Barrington joins his former partner Holly Barker in pursuing a dangerous case.","by Stuart Woods","Stuart Woods","Putnam"
"1652","THREAT VECTOR","The covert intelligence expert Jack Ryan Jr. aids his father’s administration  as China threatens.","by Tom Clancy with Mark Greaney","Tom Clancy with Mark Greaney","Putnam"
"1653","WINTER OF THE WORLD","Five interrelated families — American, German, Russian, English and Welsh — grapple with the historical events of the years 1939-49; Book 2 of the Century Trilogy.","by Ken Follett","Ken Follett","Dutton"
"1654","STANDING IN ANOTHER MAN'S GRAVE","After retiring from the Edinburgh police force, John Rebus investigates the case of a young woman who disappeared in 1999.","by Ian Rankin","Ian Rankin","Reagan Arthur/Little, Brown"
"1655","KINSEY AND ME","Early stories about Grafton’s smart and scrappy private investigator, Kinsey Millhone, as well as explorations of the author’s own past.","by Sue Grafton","Sue Grafton","Marian Wood/Putnam"
"1656","THE HUSBAND LIST","In New York City in 1894, a wealthy young woman yearns for adventure and the love of an Irish-American with new money, rather than the titled Britons to whom her mother hopes to marry her off.","by Janet Evanovich and Dorien Kelly","Janet Evanovich and Dorien Kelly","St. Martin's"
"1657","THE BLOOD GOSPEL","A hunt for the truth about a shadowy ancient order and a book supposed to have been written in Christ’s own hand; the first book in a series, the Order of the Sanguines.","by James Rollins and Rebecca Cantrell","James Rollins and Rebecca Cantrell","Morrow/HarperCollins"
"1658","EMPIRE AND HONOR","An O.S.S. agent’s plan to help his German intelligence counterparts reach Argentina encounters trouble; an Honor Bound novel. ","by W. E. B. Griffin and William E. Butterworth IV","W E B Griffin and William E Butterworth IV","Putnam"
"1659","1356","In the fourth book of the Grail Quest series, the English and French face off at the Battle of Poitiers.","by Bernard Cornwell","Bernard Cornwell","Harper/HarperCollins"
"1660","DREAM EYES","A psychic counselor, returning to a small Oregon town after her mentor’s suspicious death, is drawn to a psychic investigator with disturbing power; a Dark Legacy novel.","by Jayne Ann Krentz","Jayne Ann Krentz","Putnam"
"1661","ME BEFORE YOU","A young woman who has barely been farther afield than her English village finds herself while caring for a wealthy, embittered quadriplegic.","by Jojo Moyes","Jojo Moyes","Pamela Dorman"
"1662","ROBERT B. PARKER'S IRONHORSE","","by Robert Knott","Robert Knott","Putnam"
"1663","NOTORIOUS NINETEEN","The New Jersey bounty hunter Stephanie Plum tracks down a con man who mysteriously vanished from a hospital.","by Janet Evanovich","Janet Evanovich","Bantam"
"1664","SHADOW WOMAN","A woman’s inexplicable strange memories and altered appearance result from a far-reaching conspiracy.","by Linda Howard","Linda Howard","Ballantine"
"1665","THE CASUAL VACANCY","The sudden death of a parish councilman reveals bitter social divisions in an idyllic English town.","by J. K. Rowling","J K Rowling","Little, Brown"
"1666","THE BLACK BOX","The Los Angeles detective Harry Bosch links a recent crime to the killing of a photographer amid the 1992 race riots.","by Michael Connelly","Michael Connelly","Little, Brown"
"1667","MERRY CHRISTMAS, ALEX CROSS","Detective Alex Cross confronts both a hostage situation and a terrorist act at Christmas.","by James Patterson","James Patterson","Little, Brown"
"1668","TWO GRAVES","Special Agent Aloysius Pendergast pursues a serial killer as well as his abducted wife.","by Douglas Preston and Lincoln Child","Douglas Preston and Lincoln Child","Grand Central"
"1669","THE LAST MAN","The counterterrorism operative Mitch Rapp searches for a missing C.I.A. asset amid treachery in Afghanistan.","by Vince Flynn","Vince Flynn","Emily Bestler/Atria"
"1670","FLIGHT BEHAVIOR","An Appalachian woman becomes involved in an effort to save monarch butterflies.","by Barbara Kingsolver","Barbara Kingsolver","Harper/HarperCollins"
"1671","THE TIME KEEPER","Banished for centuries, the inventor of the world’s first clock tries to redeem himself by teaching two earthly people the true meaning of time.","by Mitch Albom","Mitch Albom","Hyperion"
"1672","COLD DAYS","Harry Dresden, no longer Chicago’s only professional wizard, is asked by Queen Mab to pull off the impossible: kill an immortal.","by Jim Butcher","Jim Butcher","Roc"
"1673","AGENDA 21","A girl begins to question the authorities who run the Republic, the totalitarian successor to the United States created by the U.N.","by Glenn Beck with Harriet Parke","Glenn Beck with Harriet Parke","Threshold Editions/Mercury Radio Arts"
"1674","BRING UP THE BODIES","In this sequel to “Wolf Hall,” Thomas Cromwell conspires against Anne Boleyn, who has failed to give Henry VIII a son; winner of the 2012 Man Booker Prize.","by Hilary Mantel","Hilary Mantel","John Macrae/Holt"
"1675","SWEET TOOTH","A British woman working for MI5 in 1972 falls in love with a writer the intelligence agency is clandestinely supporting. ","by Ian McEwan","Ian McEwan","Nan A. Talese/Doubleday"
"1676","POSEIDON'S ARROW","The developer of a powerful submarine has been killed and his plans stolen, and the NUMA director Dirk Pitt and his team go on a desperate international chase to stop the perpetrators.","by Clive Cussler and Dirk Cussler","Clive Cussler and Dirk Cussler","Putnam"
"1677","DEAR LIFE","The latest collection of stories — some ""autobiographical in feeling, though not, sometimes, entirely so in fact"" — by this year's winner of the Nobel Prize in Literature.","by Alice Munro","Alice Munro","Knopf"
"1678","THE PANTHER","The anti-terrorist task force agent John Corey and his wife, an F.B.I. agent, pursue a high-ranking Qaeda operative in Yemen. But the hunters are about to become the hunted. ","by Nelson DeMille","Nelson DeMille","Grand Central"
"1679","THE SINS OF THE MOTHER","A successful businesswoman tries to make up for past failings with her children, now grown.","by Danielle Steel","Danielle Steel","Delacorte"
"1680","THE BONE BED","A paleontologist’s disappearance in Canada involves the chief medical examiner Kay Scarpetta; the 20th Scarpetta book.","by Patricia Cornwell","Patricia Cornwell","Putnam"
"1681","HEROES PROVED","","by Oliver North","Oliver North","Threshold Editions"
"1682","A WINTER DREAM","When Joseph Jacobson stands to take over his father’s business, his 12 brothers cast him out.","by Richard Paul Evans","Richard Paul Evans","Simon & Schuster"
"1683","THE YELLOW BIRDS","In this first novel, written by an Iraq war veteran, a 21-year-old private and his platoon struggle through the conflict in Iraq but find no peace at home.","by Kevin Powers","Kevin Powers","Little, Brown"
"1684","NYPD RED","Detective Zach Jordan and his partner (and ex-girlfriend) must stop a deranged killer who has targeted a glittering New York film festival.","by James Patterson and Marshall Karp","James Patterson and Marshall Karp","Little, Brown"
"1685","BACK TO BLOOD","A Cuban-American cop is a hero turned pariah in Miami, where ethnic and class tensions threaten to explode.","by Tom Wolfe","Tom Wolfe","Little, Brown"
"1686","ANGELS AT THE TABLE","Angels cook up a plan to reunite a young couple.","by Debbie Macomber","Debbie Macomber","Ballantine"
"1687","THE SECRET KEEPER","A British actress searches for secrets in her 90-year-old mother’s past.","by Kate Morton","Kate Morton","Atria"
"1688","CAPTAIN VORPATRIL'S ALLIANCE","Ivan Vorpatril is in trouble with his superiors, the Komarran authorities and the lethal figures hunting a mysterious  woman and her exotic companion.","by Lois McMaster Bujold","Lois McMaster Bujold","Baen"
"1689","THE TWELVE","A sequel to “The Passage” continues its story of life after an apocalypse.","by Justin Cronin","Justin Cronin","Ballantine"
"1690","THE BRIDGE","he destruction of a beloved bookstore offers the shop’s supporters second chances on love and leases.","by Karen Kingsbury","Karen Kingsbury","Howard Books"
"1691","A WANTED MAN","A carload of people involved in a conspiracy pick up a disheveled hitchhiker, Child's vigilante hero Jack Reacher.","by Lee Child","Lee Child","Delacorte"
"1692","ICED","The first book in a new urban paranormal trilogy set in the world of the Fever series features Dani O’Malley.","by Karen Marie Moning","Karen Marie Moning","Delacorte"
"1693","THE GIVING QUILT","Quilters gather for a post-Thanksgiving session, for charity and for the rewards of human connection.","by Jennifer Chiaverini","Jennifer Chiaverini","Dutton"
"1694","MAD RIVER","Virgil Flowers joins the hunt for a teenage Bonnie and Clyde.","by John Sandford","John Sandford","Putnam"
"1695","THE UNCOMMON APPEAL OF CLOUDS","Edinburgh’s Isabel Dalhousie attempts to recover a stolen painting.","by Alexander McCall Smith","Alexander McCall Smith","Pantheon"
"1696","LIVE BY NIGHT","Joe Coughlin’s dizzying journey up the ladder of organized crime takes him from Jazz Age Boston to Tampa’s Latin Quarter to the streets of Cuba; an Edgar Award winner.","by Dennis Lehane","Dennis Lehane","Morrow/HarperCollins"
"1697","THIS IS HOW YOU LOSE HER","Stories of love, loss and family history from a Pulitzer Prize-winning novelist. ","by Junot Díaz","Junot Díaz","Riverhead"
"1698","THE WALKING DEAD, RISE OF THE GOVERNOR","In the second Walking Dead novel, Lilly Caul and other citizens seeking refuge from the zombie plague in Woodbury, Ga., begin to challenge the man who calls himself the Governor.","by Robert Kirkman and Jay Bonansinga","Robert Kirkman and Jay Bonansinga","Thomas Dunne/St. Martin's"
"1699","SLEEP NO MORE","The forensic sculptor Eve Duncan investigates when her mother’s friend disappears from a mental hospital.","by Iris Johansen","Iris Johansen","St. Martin's"
"1700","AN IRISH COUNTRY WEDDING","The lives and practices of Irish country doctors in the colorful Ulster village of Ballybucklebo.","by Patrick Taylor","Patrick Taylor","Forge/Tom Doherty"
"1701","A THOUSAND MORNINGS","","by Mary Oliver","Mary Oliver","Penguin Press"
"1702","PHANTOM","The Oslo detective Harry Hole returns after three years away to find the social fabric in tatters.","by Jo Nesbo","Jo Nesbø","Knopf"
"1703","LOW PRESSURE","A woman makes disturbing discoveries — and acquires a stalker — when she writes a book about her sister’s murder.","by Sandra Brown","Sandra Brown","Grand Central"
"1704","ZOO","A young biologist warns world leaders about the reasons for escalating animal attacks on cities.","by James Patterson and Michael Ledwidge","James Patterson and Michael Ledwidge","Little, Brown"
"1705","INTO THE WOODS","A collection including all of the Hollows stories along with new work.","by Kim Harrison","Kim Harrison","Harper Voyager/HarperCollins Publishers"
"1706","TELEGRAPH AVENUE","Fathers and sons in Berkeley and Oakland, Calif.","by Michael Chabon","Michael Chabon","Harper/HarperCollins"
"1707","DARK STORM","In the 23rd book in the Dark series, the Carpathian Dax fights a vampire and meets his life mate.","by Christine Feehan","Christine Feehan","Berkley"
"1708","THE LIGHT BETWEEN OCEANS","An Australian lighthouse keeper and his wife decide to keep a baby who has washed ashore.","by M. L. Stedman","M L Stedman","Scribner"
"1709","IN SUNLIGHT AND IN SHADOW","A nostalgic romance set in post-World War II New York.","by Mark Helprin","Mark Helprin","Houghton Mifflin Harcourt"
